2026-05-26 16:49:37,408 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,408 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,408 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,408 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,408 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,408 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,408 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,408 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,408 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,408 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,409 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,409 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,409 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,409 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,409 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,409 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,409 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,409 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,409 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,409 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,409 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,409 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,409 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,409 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,410 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,410 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,410 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,410 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,410 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,410 | root | INFO | Similituds trobades per a recomanació simple
